# nP: 100
# k: 9800
# h: 6
Particle num,x,y,vx,vy,ay,cellRow,cellCol,time(s)
70,496.906281,174.079742,17.153111,-6.033207,-9.800000,,1,3, 35.000038
71,565.353638,740.632507,19.524170,-35.294754,-9.800000,,4,3, 35.000038
72,765.830933,219.012421,11.684884,-23.536205,-9.800000,,1,4, 35.000038
73,112.248955,395.163544,24.660580,-29.377012,-9.800000,,2,0, 35.000038
74,133.652359,531.259766,17.355379,-13.773358,-9.800000,,3,0, 35.000038
75,515.273865,585.468872,17.400141,-22.163729,-9.800000,,3,3, 35.000038
76,526.605469,580.434509,4.699064,-31.780329,-9.800000,,3,3, 35.000038
77,470.617615,448.893158,18.730988,-24.576012,-9.800000,,2,2, 35.000038
78,254.003281,316.513367,28.047134,-22.370398,-9.800000,,1,1, 35.000038
79,631.391174,632.619141,12.064055,-5.000188,-9.800000,,3,3, 35.000038
80,375.076904,624.765442,2.394729,-10.767879,-9.800000,,3,2, 35.000038
81,168.363388,115.385185,10.111293,-31.894131,-9.800000,,0,1, 35.000038
82,381.883026,132.533478,2.064219,-22.182503,-9.800000,,0,2, 35.000038
83,87.409134,335.843353,14.405079,-18.607174,-9.800000,,2,0, 35.000038
84,252.338348,160.506943,18.812361,-12.173019,-9.800000,,1,1, 35.000038
85,669.567688,432.718933,19.241144,-13.598255,-9.800000,,2,4, 35.000038
86,553.060303,492.305115,27.939287,-14.634485,-9.800000,,3,3, 35.000038
87,792.481506,123.549797,-3.120345,-9.738946,-9.800000,,0,4, 35.000038
88,600.184998,501.101776,10.926280,-13.772502,-9.800000,,3,3, 35.000038
89,511.039154,506.474762,7.860684,-17.470280,-9.800000,,3,3, 35.000038
90,177.906464,129.606812,10.559106,-12.055206,-9.800000,,0,1, 35.000038
91,428.718567,209.056915,21.714596,-17.530693,-9.800000,,1,2, 35.000038
92,719.798828,294.961334,-23.571154,-11.493029,-9.800000,,1,4, 35.000038
93,746.187561,316.754211,7.447174,-26.216263,-9.800000,,1,4, 35.000038
94,262.698822,484.910950,4.575109,-4.414360,-9.800000,,3,1, 35.000038
95,239.767288,50.998379,24.979427,-27.580296,-9.800000,,0,1, 35.000038
96,784.558044,746.232788,-9.564077,-20.457825,-9.800000,,4,4, 35.000038
